Search for FDA Guidance Documents | FDA,,,,,,,,
Summary,Document,Issue Date,FDA Organization,Topic,Guidance Status,Open for Comment,Comment Closing Date on Draft,Docket Number
Enforcement Policy for Certain (Provisional) Tobacco Products that FDA Finds Not Substantially Equivalent:  Guidance for Industry and Tobacco Retailers,PDF (24.78 KB)PDF (24.78 KB) of Enforcement Policy for Certain (Provisional) Tobacco Products that FDA Finds Not Substantially Equivalent:  Guidance for Industry and Tobacco Retailers,09/14/2015,Center for Tobacco Products,,Final,No,,FDA-2013-D-1600
Nonclinical Evaluation of Endocrine-Related Drug Toxicity,PDF (129.18 KB)PDF (129.18 KB) of Nonclinical Evaluation of Endocrine-Related Drug Toxicity,09/09/2015,Center for Drug Evaluation and Research,Pharmacology/Toxicology,Final,No,,
"Use of Donor Screening Tests to Test Donors of Human Cells, Tissues and Cellular and Tissue-Based Products for Infection with Treponema pallidum (Syphilis):  Guidance for Industry","PDF (175.47 KB)PDF (175.47 KB) of Use of Donor Screening Tests to Test Donors of Human Cells, Tissues and Cellular and Tissue-Based Products for Infection with Treponema pallidum (Syphilis):  Guidance for Industry",09/09/2015,Center for Biologics Evaluation and Research,Tissue,Final,No,,FDA-2013-D-1213
CVM GFI #225 (VICH GL53) Electronic Exchange of Documents: File Format Recommendations,PDF (113.45 KB)PDF (113.45 KB) of CVM GFI #225 (VICH GL53) Electronic Exchange of Documents: File Format Recommendations,09/01/2015,Center for Veterinary Medicine,"Electronic Submissions, New Animal Drug Application (NADA), VICH",Final,No,10/27/2014,FDA-2014-D-1177
Guidance for Industry: Colored Sea Salt,PDF (173.3 KB)PDF (173.3 KB) of Guidance for Industry: Colored Sea Salt,09/01/2015,Human Foods Program,Food & Color Additives,Final,No,,
Design and Analysis of Shedding Studies for Virus or Bacteria-Based Gene Therapy and Oncolytic Products:  Guidance for Industry,PDF (120.35 KB)PDF (120.35 KB) of Design and Analysis of Shedding Studies for Virus or Bacteria-Based Gene Therapy and Oncolytic Products:  Guidance for Industry,08/27/2015,Center for Biologics Evaluation and Research,"Cellular & Gene Therapy, Gene Therapy",Final,No,,FDA-2014-D-0852
Uncomplicated Gonorrhea: Developing Drugs for Treatment,PDF (222.06 KB)PDF (222.06 KB) of Uncomplicated Gonorrhea: Developing Drugs for Treatment,08/18/2015,Center for Drug Evaluation and Research,Clinical - Antimicrobial,Final,No,,FDA-2014-D-0640
Providing Submissions in Electronic Format — Postmarketing Safety Reports for Vaccines:  Guidance for Industry,PDF (77.06 KB)PDF (77.06 KB) of Providing Submissions in Electronic Format — Postmarketing Safety Reports for Vaccines:  Guidance for Industry,08/18/2015,Center for Biologics Evaluation and Research,"Postmarket, Electronic Submissions, Safety - Issues, Errors, and Problems, Vaccines",Final,No,,FDA-2014-D-0903
Select Updates for Non-Clinical Engineering Tests and Recommended Labeling for Intravascular Stents and Associated Delivery Systems:  Guidance for Industry and Food and Drug Administration Staff,PDF (410.18 KB)PDF (410.18 KB) of Select Updates for Non-Clinical Engineering Tests and Recommended Labeling for Intravascular Stents and Associated Delivery Systems:  Guidance for Industry and Food and Drug Administration Staff,08/18/2015,Center for Devices and Radiological Health,"Premarket,",Final,No,,FDA-2013-D-0920
Endotoxin Testing Recommendations for Single-Use Intraocular Ophthalmic Devices,PDF (418.97 KB)PDF (418.97 KB) of Endotoxin Testing Recommendations for Single-Use Intraocular Ophthalmic Devices,08/17/2015,Center for Devices and Radiological Health,"Premarket, Ophthalmic",Final,No,,FDA-2014-D-0332
"Guidance For Entities Considering Whether to Register As Outsourcing Facilities Under Section 503B of the Federal Food, Drug, and Cosmetic Act","PDF (74.03 KB)PDF (74.03 KB) of Guidance For Entities Considering Whether to Register As Outsourcing Facilities Under Section 503B of the Federal Food, Drug, and Cosmetic Act",08/11/2015,Center for Drug Evaluation and Research,"Administrative / Procedural, Compounding",Final,No,05/17/2015,
Brief Summary and Adequate Directions for Use: Disclosing Risk Information in Consumer-Directed Print Advertisements and Promotional Labeling for Prescription Drugs,PDF (303.33 KB)PDF (303.33 KB) of Brief Summary and Adequate Directions for Use: Disclosing Risk Information in Consumer-Directed Print Advertisements and Promotional Labeling for Prescription Drugs,08/06/2015,"Center for Veterinary MedicineCenter for Drug Evaluation and Research,Office of Regulatory PolicyCenter for Biologics Evaluation and Research",Advertising,Draft,No,10/05/2015,FDA-2004-D-0500
CVM GFI #220 Use of Nanomaterials in Food for Animals,PDF (86.3 KB)PDF (86.3 KB) of CVM GFI #220 Use of Nanomaterials in Food for Animals,08/05/2015,Center for Veterinary Medicine,"Nanotechnology, Animal Food Additives",Final,No,09/10/2014,FDA-2013-D-1009
Over-the-Counter Pediatric Oral Liquid Drug Products Containing Acetaminophen,PDF (81.71 KB)PDF (81.71 KB) of Over-the-Counter Pediatric Oral Liquid Drug Products Containing Acetaminophen,08/05/2015,Center for Drug Evaluation and Research,"Over-the-Counter Drugs, Safety - Issues, Errors, and Problems, Administrative / Procedural, Combination Products",Final,No,,FDA-2014-D-1473
CVM GFI #198 (VICH GL45) Bracketing and Matrixing Designs For Stability Testing of New Veterinary Drug Substances and Medicinal Products,PDF (141.6 KB)PDF (141.6 KB) of CVM GFI #198 (VICH GL45) Bracketing and Matrixing Designs For Stability Testing of New Veterinary Drug Substances and Medicinal Products,07/31/2015,Center for Veterinary Medicine,VICH,Final,No,,FDA-2009-D-0309
Recommendations for Premarket Notification (510(k)) Submissions for Nucleic Acid-Based Human Leukocyte Antigen (HLA) Test Kits Used for Matching of Donors and Recipients in Transfusion and Transplantation:  Guidance for Industry,PDF (75.4 KB)PDF (75.4 KB) of Recommendations for Premarket Notification (510(k)) Submissions for Nucleic Acid-Based Human Leukocyte Antigen (HLA) Test Kits Used for Matching of Donors and Recipients in Transfusion and Transplantation:  Guidance for Industry,07/31/2015,Center for Biologics Evaluation and Research,"Premarket, Blood, Blood Products",Final,No,,FDA-2013-D-1358
Analytical Procedures and Methods Validation for Drugs and Biologics,PDF (133.79 KB)PDF (133.79 KB) of Analytical Procedures and Methods Validation for Drugs and Biologics,07/27/2015,Center for Drug Evaluation and ResearchCenter for Biologics Evaluation and Research,"Chemistry, Manufacturing, and Controls (CMC), Pharmaceutical Quality",Final,No,,FDA-2015-N-0007
"Meetings with the Office of Orphan Products Development:  Guidance for Industry, Researchers, Patient Groups, and Food and Drug Administration Staff","PDF (134.31 KB)PDF (134.31 KB) of Meetings with the Office of Orphan Products Development:  Guidance for Industry, Researchers, Patient Groups, and Food and Drug Administration Staff",07/09/2015,"Office of the Commissioner,Office of Clinical Policy and Programs,Office of Orphan Products Development","Administrative / Procedural, Pediatric Product Development",Final,No,,FDA-2014-D-0313
"Guidance for Industry: Questions and Answers Regarding the Final Rule, Prevention of Salmonella Enteritidis in Shell Eggs During Production, Storage, and Transportation","PDF (297.17 KB)PDF (297.17 KB) of Guidance for Industry: Questions and Answers Regarding the Final Rule, Prevention of Salmonella Enteritidis in Shell Eggs During Production, Storage, and Transportation",07/01/2015,Human Foods Program,"Egg/Egg Product, Transportation, Salmonella",Final,No,,FDA-2011-D-0398
Considerations for the Design of Early-Phase Clinical Trials of Cellular and Gene Therapy Products:  Guidance for Industry,PDF (312.74 KB)PDF (312.74 KB) of Considerations for the Design of Early-Phase Clinical Trials of Cellular and Gene Therapy Products:  Guidance for Industry,06/27/2015,Center for Biologics Evaluation and Research,Gene Therapy,Final,No,,FDA-2013-D-0576
Allowable Excess Volume and Labeled Vial Fill Size in Injectable Drug and Biological Products,PDF (76.58 KB)PDF (76.58 KB) of Allowable Excess Volume and Labeled Vial Fill Size in Injectable Drug and Biological Products,06/25/2015,Center for Drug Evaluation and ResearchCenter for Biologics Evaluation and Research,"Chemistry, Manufacturing, and Controls (CMC), Pharmaceutical Quality",Final,No,,FDA-2014-D-0248
Guidance for Industry: Food Allergen Labeling Exemption Petitions and Notifications,PDF (524.85 KB)PDF (524.85 KB) of Guidance for Industry: Food Allergen Labeling Exemption Petitions and Notifications,06/19/2015,Human Foods Program,"Allergens, Labeling",Final,No,,FDA-2014-D-0052
Naming of Drug Products Containing Salt Drug Substances,PDF (209.94 KB)PDF (209.94 KB) of Naming of Drug Products Containing Salt Drug Substances,06/17/2015,Center for Drug Evaluation and Research,Labeling,Final,No,,FDA-2013-D-1566
Content and Format for Abbreviated 510(k)s for Early Growth Response 1 (EGR1) Gene Fluorescence In-Situ Hybridization (FISH) Test System for Specimen Characterization Devices:  Guidance for Industry and Food and Drug Administration Staff,PDF (330.31 KB)PDF (330.31 KB) of Content and Format for Abbreviated 510(k)s for Early Growth Response 1 (EGR1) Gene Fluorescence In-Situ Hybridization (FISH) Test System for Specimen Characterization Devices:  Guidance for Industry and Food and Drug Administration Staff,06/17/2015,Center for Devices and Radiological Health,"Premarket, 510(k), Labeling, Laboratory Tests, IVDs (In Vitro Diagnostic Devices), Molecular and Clinical Genetics, Immunology & Microbiology",Final,No,,FDA-2014-D-1242
CVM GFI #218 Cell-Based Products for Animal Use,PDF (161.91 KB)PDF (161.91 KB) of CVM GFI #218 Cell-Based Products for Animal Use,06/12/2015,Center for Veterinary Medicine,"Cellular & Gene Therapy, Investigational New Animal Drug (INAD)",Final,No,09/30/2014,FDA-2014-D-0634
CVM GFI #221 Recommendations for Preparation and Submission of Animal Food Additive Petitions,PDF (121.79 KB)PDF (121.79 KB) of CVM GFI #221 Recommendations for Preparation and Submission of Animal Food Additive Petitions,06/12/2015,Center for Veterinary Medicine,Animal Food Additives,Final,No,,FDA-2013-D-0928
"Pregnancy, Lactation, and Reproductive Potential:  Labeling for Human Prescription Drug and Biological Products — Content and Format Guidance for Industry  (Small Entity Compliance Guide)","PDF (164.53 KB)PDF (164.53 KB) of Pregnancy, Lactation, and Reproductive Potential:  Labeling for Human Prescription Drug and Biological Products — Content and Format Guidance for Industry  (Small Entity Compliance Guide)",06/10/2015,Center for Drug Evaluation and ResearchCenter for Biologics Evaluation and Research,Labeling,Final,No,,
Investigational New Drug Applications Prepared and Submitted by Sponsor-Investigators,PDF (430.73 KB)PDF (430.73 KB) of Investigational New Drug Applications Prepared and Submitted by Sponsor-Investigators,05/15/2015,Center for Drug Evaluation and ResearchCenter for Biologics Evaluation and Research,Administrative / Procedural,Draft,No,,FDA-2015-D-1484
Quality Considerations in Demonstrating Biosimilarity of a Therapeutic Protein Product to a Reference Product Guidance for Industry,PDF (138.29 KB)PDF (138.29 KB) of Quality Considerations in Demonstrating Biosimilarity of a Therapeutic Protein Product to a Reference Product Guidance for Industry,04/30/2015,Center for Drug Evaluation and ResearchCenter for Biologics Evaluation and Research,Biosimilars,Final,No,,FDA-2011-D-0602
Scientific Considerations in Demonstrating Biosimilarity to a Reference Product,PDF (169.02 KB)PDF (169.02 KB) of Scientific Considerations in Demonstrating Biosimilarity to a Reference Product,04/28/2015,Center for Drug Evaluation and Research,Biosimilars,Final,No,,FDA-2011-D-0605
Clinical Trial Endpoints for the Approval of Non-Small Cell Lung Cancer Drugs and Biologics,PDF (343 KB)PDF (343 KB) of Clinical Trial Endpoints for the Approval of Non-Small Cell Lung Cancer Drugs and Biologics,04/22/2015,Center for Drug Evaluation and ResearchCenter for Biologics Evaluation and Research,Clinical - Medical,Final,No,,FDA-2011-D-0432
Balancing Premarket and Postmarket Data Collection for Devices Subject to Premarket Approval:  Guidance for Industry and Food and Drug Administration Staff,PDF (500.14 KB)PDF (500.14 KB) of Balancing Premarket and Postmarket Data Collection for Devices Subject to Premarket Approval:  Guidance for Industry and Food and Drug Administration Staff,04/13/2015,Center for Devices and Radiological HealthCenter for Biologics Evaluation and Research,"Postmarket, Premarket, Premarket Approval (PMA)",Final,No,,FDA-2014-D-0090
CVM GFI #211 Residual Solvents in Animal Drug Products Questions and Answers,PDF (75.83 KB)PDF (75.83 KB) of CVM GFI #211 Residual Solvents in Animal Drug Products Questions and Answers,04/03/2015,Center for Veterinary Medicine,"Chemistry, Manufacturing, and Controls (CMC)",Final,No,,FDA-2010-D-0566
Abuse-Deterrent Opioids-Evaluation and Labeling,PDF (226.28 KB)PDF (226.28 KB) of Abuse-Deterrent Opioids-Evaluation and Labeling,04/02/2015,Center for Drug Evaluation and Research,Clinical - Medical,Final,No,,FDA-2013-D-0045
Critical Path Innovation Meetings,PDF (68.37 KB)PDF (68.37 KB) of Critical Path Innovation Meetings,03/30/2015,,Administrative / Procedural,Final,No,,
Electronic Submission of Lot Distribution Reports:  Guidance for Industry,PDF (64.97 KB)PDF (64.97 KB) of Electronic Submission of Lot Distribution Reports:  Guidance for Industry,03/23/2015,Center for Drug Evaluation and ResearchCenter for Biologics Evaluation and Research,"Electronic Submissions,",Final,No,,FDA-2014-D-1288
Reprocessing Medical Devices in Health Care Settings: Validation Methods and Labeling :  Guidance for Industry and Food and Drug Administration Staff,PDF (804.72 KB)PDF (804.72 KB) of Reprocessing Medical Devices in Health Care Settings: Validation Methods and Labeling :  Guidance for Industry and Food and Drug Administration Staff,03/17/2015,Center for Devices and Radiological Health,"Premarket, 510(k), Premarket Approval (PMA), Investigational Device Exemption (IDE)",Final,No,,FDA-2011-D-0293
Small Entity Compliance Guide: Nutrition Labeling of Standard Menu Items in Restaurants and Similar Retail Food Establishments,PDF (282.72 KB)PDF (282.72 KB) of Small Entity Compliance Guide: Nutrition Labeling of Standard Menu Items in Restaurants and Similar Retail Food Establishments,03/13/2015,Human Foods Program,"Labeling, Nutrition",Final,No,,FDA-2011-F-0172
CVM GFI #207 (VICH GL48) Studies to Evaluate the Metabolism and Residue Kinetics of Veterinary Drugs In Food-Producing Animals: Marker Residue Depletion Studies to Establish Product Withdrawal Periods,PDF (303.03 KB)PDF (303.03 KB) of CVM GFI #207 (VICH GL48) Studies to Evaluate the Metabolism and Residue Kinetics of Veterinary Drugs In Food-Producing Animals: Marker Residue Depletion Studies to Establish Product Withdrawal Periods,03/09/2015,Center for Veterinary Medicine,"Human Food Safety, VICH",Final,No,,FDA-2010-D-0166
CVM GFI #208 (VICH GL49) Studies to Evaluate the Metabolism and Residue Kinetics of Veterinary Drugs in Food-Producing Animals: Validation of Analytical Methods Used in Residue Depletion Studies,PDF (290.89 KB)PDF (290.89 KB) of CVM GFI #208 (VICH GL49) Studies to Evaluate the Metabolism and Residue Kinetics of Veterinary Drugs in Food-Producing Animals: Validation of Analytical Methods Used in Residue Depletion Studies,03/09/2015,Center for Veterinary Medicine,"Human Food Safety, VICH",Final,No,,FDA-2010-D-0165
"Determining the Need for and Content of Environmental Assessments for Gene Therapies, Vectored Vaccines, and Related Recombinant Viral or Microbial Products:  Guidance for Industry","PDF (103.71 KB)PDF (103.71 KB) of Determining the Need for and Content of Environmental Assessments for Gene Therapies, Vectored Vaccines, and Related Recombinant Viral or Microbial Products:  Guidance for Industry",03/01/2015,Center for Biologics Evaluation and Research,Gene Therapy,Final,No,,FDA-2014-D-0663
Alcoholism:  Developing Drugs for Treatment,PDF (350.4 KB)PDF (350.4 KB) of Alcoholism:  Developing Drugs for Treatment,02/12/2015,Center for Drug Evaluation and Research,Clinical - Medical,Draft,No,,FDA-2015-D-0152
Safety Considerations to Mitigate the Risks of Misconnections with Small-bore Connectors Intended for Enteral Applications:  Guidance for Industry and Food and Drug Administration Staff,PDF (141.95 KB)PDF (141.95 KB) of Safety Considerations to Mitigate the Risks of Misconnections with Small-bore Connectors Intended for Enteral Applications:  Guidance for Industry and Food and Drug Administration Staff,02/11/2015,Center for Devices and Radiological Health,"Premarket, 510(k)",Final,No,,FDA-2012-D-0630
S10 Photosafety Evaluation of Pharmaceuticals,PDF (255.89 KB)PDF (255.89 KB) of S10 Photosafety Evaluation of Pharmaceuticals,01/27/2015,Center for Drug Evaluation and ResearchCenter for Biologics Evaluation and Research,ICH-Safety,Final,No,,FDA-2013-D-0068
DSCSA Implementation: Product Tracing Requirements — Compliance Policy,PDF (55.76 KB)PDF (55.76 KB) of DSCSA Implementation: Product Tracing Requirements — Compliance Policy,12/31/2014,Center for Drug Evaluation and Research,Administrative / Procedural,Final,No,,FDA-2014-D-2254
Minimizing Risk for Children's Toy Laser Products:   Guidance for Industry and Food and Drug Administration Staff,PDF (58.93 KB)PDF (58.93 KB) of Minimizing Risk for Children's Toy Laser Products:   Guidance for Industry and Food and Drug Administration Staff,12/19/2014,Center for Devices and Radiological Health,Radiological Health,Final,No,,FDA-2012-D-1092
"Providing Regulatory Submissions in Electronic Format — Submissions Under Section 745A(a) of the Federal Food, Drug, and Cosmetic Act","PDF (81.47 KB)PDF (81.47 KB) of Providing Regulatory Submissions in Electronic Format — Submissions Under Section 745A(a) of the Federal Food, Drug, and Cosmetic Act",12/18/2014,Center for Drug Evaluation and ResearchCenter for Biologics Evaluation and Research,"Electronic Submissions,",Final,No,,FDA-2014-D-1953
"CPG Sec 540.275 (Draft) Crabmeat - Fresh and Frozen - Adulteration with Filth, Involving the Presence of Escherichia coli","PDF (53.66 KB)PDF (53.66 KB) of CPG Sec 540.275 (Draft) Crabmeat - Fresh and Frozen - Adulteration with Filth, Involving the Presence of Escherichia coli",12/16/2014,Office of Inspections and InvestigationsHuman Foods Program,"Investigation & Enforcement, Seafood/Seafood Product",Draft,No,,FDA-2014-D-1842
Patient Counseling Information Section of Labeling for Human Prescription Drug and Biological Products — Content and Format,PDF (91.12 KB)PDF (91.12 KB) of Patient Counseling Information Section of Labeling for Human Prescription Drug and Biological Products — Content and Format,12/10/2014,Center for Drug Evaluation and ResearchCenter for Biologics Evaluation and Research,Labeling,Final,No,,FDA-2013-D-1067
DSCSA Implementation: Annual Reporting by Prescription Drug Wholesale Distributors and Third-Party Logistics Providers,PDF (94.17 KB)PDF (94.17 KB) of DSCSA Implementation: Annual Reporting by Prescription Drug Wholesale Distributors and Third-Party Logistics Providers,12/09/2014,Center for Drug Evaluation and Research,Administrative / Procedural,Draft,No,,FDA-2014-D-2083
SUPAC: Manufacturing Equipment Addendum,PDF (212.88 KB)PDF (212.88 KB) of SUPAC: Manufacturing Equipment Addendum,12/02/2014,Center for Drug Evaluation and Research,"Chemistry, Manufacturing, and Controls (CMC), Pharmaceutical Quality",Draft,No,,FDA-2013-D-0295
Infusion Pumps Total Product Life Cycle:  Guidance for Industry and FDA Staff,PDF (577.19 KB)PDF (577.19 KB) of Infusion Pumps Total Product Life Cycle:  Guidance for Industry and FDA Staff,12/02/2014,Center for Devices and Radiological Health,"Premarket, 510(k)",Final,No,,FDA-2010-D-0194
Recommendations for Labeling Medical Products to Inform Users that the Product or Product Container is not Made with Natural Rubber Latex:  Guidance for Industry and Food and Drug Administration Staff,PDF (75.67 KB)PDF (75.67 KB) of Recommendations for Labeling Medical Products to Inform Users that the Product or Product Container is not Made with Natural Rubber Latex:  Guidance for Industry and Food and Drug Administration Staff,12/02/2014,Center for Devices and Radiological Health,"Premarket,",Final,No,,FDA-2013-D-0168
CPG Sec 540.700 Labeling of Processed and Blended Seafood Products Made Primarily with Fish Protein,PDF (17.8 KB)PDF (17.8 KB) of CPG Sec 540.700 Labeling of Processed and Blended Seafood Products Made Primarily with Fish Protein,12/01/2014,Human Foods ProgramOffice of Inspections and Investigations,"Investigation & Enforcement, Seafood/Seafood Product",Final,No,,
Changes to an Approved Application: Biological Products: Human Blood and Blood Components Intended for Transfusion or for Further Manufacture:  Final Guidance,PDF (390.87 KB)PDF (390.87 KB) of Changes to an Approved Application: Biological Products: Human Blood and Blood Components Intended for Transfusion or for Further Manufacture:  Final Guidance,12/01/2014,Center for Biologics Evaluation and Research,Blood Products,Final,No,,FDA-1999-D-3528
"Registration for Human Drug Compounding Outsourcing Facilities Under Section 503B of the Federal Food, Drug, and Cosmetic Act","PDF (71.02 KB)PDF (71.02 KB) of Registration for Human Drug Compounding Outsourcing Facilities Under Section 503B of the Federal Food, Drug, and Cosmetic Act",11/24/2014,Center for Drug Evaluation and Research,"Administrative / Procedural, Compounding",Final,No,,FDA-2013-N-1429
Design Considerations for Devices Intended for Home Use:  Guidance for Industry and Food and Drug Administration Staff,PDF (522.91 KB)PDF (522.91 KB) of Design Considerations for Devices Intended for Home Use:  Guidance for Industry and Food and Drug Administration Staff,11/24/2014,Center for Devices and Radiological Health,"Premarket,",Final,No,,FDA-2012-D-1161
Vaginal Microbicides:Development for the Prevention of HIV Infection PDF,PDF (352.3 KB)PDF (352.3 KB) of Vaginal Microbicides:Development for the Prevention of HIV Infection PDF,11/19/2014,Center for Drug Evaluation and Research,Clinical - Antimicrobial,Final,No,,FDA-2012-D-1120
Molecular Diagnostic Instruments with Combined Functions:  Guidance for Industry and Food and Drug Administration Staff,PDF (424.7 KB)PDF (424.7 KB) of Molecular Diagnostic Instruments with Combined Functions:  Guidance for Industry and Food and Drug Administration Staff,11/12/2014,Center for Devices and Radiological HealthCenter for Biologics Evaluation and Research,"Premarket,",Final,No,,FDA-2013-D-0258
Specification of the Unique Facility Identifier (UFI) System for Drug Establishment,PDF (61.12 KB)PDF (61.12 KB) of Specification of the Unique Facility Identifier (UFI) System for Drug Establishment,11/06/2014,Center for Drug Evaluation and Research,Administrative / Procedural,Final,No,,FDA-2013-D-0984
New Chemical Entity Exclusivity Determinations for Certain Fixed-Combination Drug Products,PDF (351.45 KB)PDF (351.45 KB) of New Chemical Entity Exclusivity Determinations for Certain Fixed-Combination Drug Products,10/16/2014,Center for Drug Evaluation and Research,Administrative / Procedural,Final,No,,FDA-2013-D-1675
Distinguishing Medical Device Recalls from Medical Device Enhancements:  Guidance for Industry and Food and Drug Administration Staff,PDF (359.71 KB)PDF (359.71 KB) of Distinguishing Medical Device Recalls from Medical Device Enhancements:  Guidance for Industry and Food and Drug Administration Staff,10/15/2014,Center for Devices and Radiological Health,"Postmarket,",Final,No,,FDA-2013-D-0114
CVM GFI #143 (VICH GL30) Pharmacovigilance of Veterinary Medicinal Products: Controlled List of Terms,PDF (149.17 KB)PDF (149.17 KB) of CVM GFI #143 (VICH GL30) Pharmacovigilance of Veterinary Medicinal Products: Controlled List of Terms,10/09/2014,Center for Veterinary Medicine,"Adverse Event Reporting, VICH",Final,No,,FDA-2002-D-0268
CVM GFI #224 (Supplement to VICH GL52) Supplemental Examples For Illustrating Statistical Concepts Described in the VICH In Vivo Bioequivalence Guidance GL52,PDF (131.25 KB)PDF (131.25 KB) of CVM GFI #224 (Supplement to VICH GL52) Supplemental Examples For Illustrating Statistical Concepts Described in the VICH In Vivo Bioequivalence Guidance GL52,09/24/2014,Center for Veterinary Medicine,"Generic Animal Drugs, Generic Drugs, New Animal Drug Application (NADA), VICH",Final,No,11/24/2014,FDA-2014-D-1352
Custom Device Exemption:  Guidance for Industry and Food and Drug Administration Staff,PDF (521.97 KB)PDF (521.97 KB) of Custom Device Exemption:  Guidance for Industry and Food and Drug Administration Staff,09/24/2014,Center for Devices and Radiological Health,"Premarket,",Final,No,,FDA-2013-D-1601
Highly Multiplexed Microbiological/Medical Countermeasure In Vitro Nucleic Acid Based Diagnostic Devices:  Guidance for Industry and Food and Drug Administration Staff,PDF (798.55 KB)PDF (798.55 KB) of Highly Multiplexed Microbiological/Medical Countermeasure In Vitro Nucleic Acid Based Diagnostic Devices:  Guidance for Industry and Food and Drug Administration Staff,08/27/2014,Center for Devices and Radiological Health,"Laboratory Tests, IVDs (In Vitro Diagnostic Devices)",Final,No,,FDA-2012-D-1057
Evaluation of Sex-Specific Data in Medical Device Clinical Studies - Guidance for Industry and Food and Drug Administration Staff,PDF (940.93 KB)PDF (940.93 KB) of Evaluation of Sex-Specific Data in Medical Device Clinical Studies - Guidance for Industry and Food and Drug Administration Staff,08/22/2014,Center for Devices and Radiological Health,"Premarket, Good Clinical Practice (GCP)",Final,No,,FDA-2011-D-0817
"Unique Device Identifier System: Frequently Asked Questions, Vol. 1 :  Guidance for Industry and Food and Drug Administration Staff","PDF (462.01 KB)PDF (462.01 KB) of Unique Device Identifier System: Frequently Asked Questions, Vol. 1 :  Guidance for Industry and Food and Drug Administration Staff",08/20/2014,Center for Devices and Radiological HealthCenter for Biologics Evaluation and Research,"Labeling, UDI",Final,No,,FDA-2020-D-0957
"FDA Decisions for Investigational Device Exemption Clinical Investigations:  Guidance for Sponsors, Clinical Investigators, Institutional Review Boards, and Food and Drug Administration Staff","PDF (630.79 KB)PDF (630.79 KB) of FDA Decisions for Investigational Device Exemption Clinical Investigations:  Guidance for Sponsors, Clinical Investigators, Institutional Review Boards, and Food and Drug Administration Staff",08/19/2014,Center for Devices and Radiological Health,"Premarket, Investigational Device Exemption (IDE)",Final,No,,FDA-2011-D-0790
Immunogenicity Assessment for Therapeutic Protein Products,PDF (241.55 KB)PDF (241.55 KB) of Immunogenicity Assessment for Therapeutic Protein Products,08/14/2014,Center for Drug Evaluation and ResearchCenter for Biologics Evaluation and Research,"Chemistry, Manufacturing, and Controls (CMC), Clinical - Medical, Pharmaceutical Quality",Final,No,,FDA-2013-D-0092
Unique Device Identification System: Small Entity Compliance Guide:  Guidance for Industry and Food and Drug Administration Staff,PDF (419.86 KB)PDF (419.86 KB) of Unique Device Identification System: Small Entity Compliance Guide:  Guidance for Industry and Food and Drug Administration Staff,08/13/2014,Center for Devices and Radiological Health,Labeling,Final,No,,FDA-2011-D-0790
Upper Facial Lines:  Developing Botulinum Toxin Drug Products,,08/06/2014,Center for Drug Evaluation and Research,Clinical - Medical,Draft,No,,FDA-2014-D-0968
In Vitro Companion Diagnostic Devices:  Guidance for Industry and Food and Drug Administration Staff,PDF (159.23 KB)PDF (159.23 KB) of In Vitro Companion Diagnostic Devices:  Guidance for Industry and Food and Drug Administration Staff,08/06/2014,Center for Devices and Radiological Health,"Premarket,",Final,No,,FDA-2011-D-0215
Reference Product Exclusivity for Biological Products Filed Under Section 351(a) of the PHS Act,PDF (99.35 KB)PDF (99.35 KB) of Reference Product Exclusivity for Biological Products Filed Under Section 351(a) of the PHS Act,08/04/2014,Center for Drug Evaluation and ResearchCenter for Biologics Evaluation and Research,"Administrative / Procedural, Biosimilars",Draft,No,,FDA-2013-D-1165
CVM GFI #200 SECG for Designation of New Animal Drugs for Minor Uses or Minor Species,PDF (71.19 KB)PDF (71.19 KB) of CVM GFI #200 SECG for Designation of New Animal Drugs for Minor Uses or Minor Species,07/29/2014,Center for Veterinary Medicine,Minor Use/ Minor Species (MUMS),Final,No,,FDA-2010-D-0432
CVM GFI #201 SECG for The Index of Legally Marketed Unapproved New Animal Drugs for Minor Species,PDF (72.54 KB)PDF (72.54 KB) of CVM GFI #201 SECG for The Index of Legally Marketed Unapproved New Animal Drugs for Minor Species,07/29/2014,Center for Veterinary Medicine,Minor Use/ Minor Species (MUMS),Final,No,,FDA-2010-D-0435
The 510(k) Program: Evaluating Substantial Equivalence in Premarket Notifications [510(k)]:  Guidance for Industry and Food and Drug Administration Staff,PDF (843.9 KB)PDF (843.9 KB) of The 510(k) Program: Evaluating Substantial Equivalence in Premarket Notifications [510(k)]:  Guidance for Industry and Food and Drug Administration Staff,07/28/2014,Center for Devices and Radiological Health,"Premarket, 510(k), Administrative / Procedural",Final,No,,FDA-2011-D-0652
Reporting Drug Sample Information Under Section 6004 of the Affordable Care Act,PDF (113.9 KB)PDF (113.9 KB) of Reporting Drug Sample Information Under Section 6004 of the Affordable Care Act,07/11/2014,Center for Drug Evaluation and ResearchCenter for Biologics Evaluation and Research,"Electronic Submissions,",Draft,No,,FDA-2014-D-0829
Neglected Tropical Diseases of the Developing World: Developing Drugs for Treatment or Prevention,PDF (364.01 KB)PDF (364.01 KB) of Neglected Tropical Diseases of the Developing World: Developing Drugs for Treatment or Prevention,07/07/2014,Center for Drug Evaluation and Research,Clinical - Antimicrobial,Final,No,,FDA-2011-D-0587
